T,Size,Discovered
0.0,15,0.168719
16.62154791,17,0.334031
32.676244971,16,0.338178
88.763232543,11,0.385014
112.921903316,10,0.431164
138.791059947,9,0.433301
168.546585349,8,0.44726
230.001148743,14,0.552799
246.073437475,13,0.595428
265.407725879,9,0.626507
309.92641543,8,0.665658
326.185474,6,0.698947
404.09268757,5,0.734372
422.48420367,3,0.748807
486.222854501,8,0.852954
497.578261248,6,0.892997
516.075478863,4,0.924495
535.918173031,3,0.924773
586.154918711,2,0.964677
604.084354287,0,0.996652
